Stdout/Stderr: 2025-04-20T01:51:50.982130	INFO	=== Consortium Log Analyzer Started ===
2025-04-20T01:51:50.982230	INFO	Found backup(s): logs.db.bak.20250420014441
2025-04-20T01:51:50.982301	INFO	Loaded 96 consortium model names.
2025-04-20T01:51:50.986434	INFO	Connected to database: /home/thomas/.config/io.datasette.llm/logs.db
2025-04-20T01:51:50.986470	INFO	Phase 1: Identifying consortium outputs and their final arbiters...
2025-04-20T01:51:51.867342	INFO	Loaded 20828 records from database.
2025-04-20T01:51:51.867515	DEBUG	Linked Output ID 01jjtv8fwzcavm1yyxbrwz173p with Final Arbiter ID 01jjtj7rn6zhn0rednps755erg -> Consortium Run ID 1491f7272adcf3aec7259f367197b28171615d49
2025-04-20T01:51:51.867560	DEBUG	Linked Output ID 01jjwyreqsxb0w4zy6prn9wtxr with Final Arbiter ID 01jjwyqjvnsh7xqdf1a2akrzr0 -> Consortium Run ID 1491f727b72f93d9dfe7d799272c9502ede966da
2025-04-20T01:51:51.867593	DEBUG	Linked Output ID 01jjwyx10gzwzkj87ztfc6qcf8 with Final Arbiter ID 01jjwyvps14ys9sstn413bn7ga -> Consortium Run ID 1491f7271ade5e47ea62a44743f6fcb4d09b3bd3
2025-04-20T01:51:51.867627	DEBUG	Linked Output ID 01jjx40p45n5hcczw8djev6jfg with Final Arbiter ID 01jjx3zwn033td6zbst8zg8xpx -> Consortium Run ID 1491f7274e86adf6aa48c493997c9ba6c2e051c7
2025-04-20T01:51:51.867662	DEBUG	Linked Output ID 01jjx817j38x6vz8ta1za00yw4 with Final Arbiter ID 01jjx7w5zvyp8tr6x46kwnwn7h -> Consortium Run ID 1491f7271c2e99ccad9ccc55d178d8f5d6cbe613
2025-04-20T01:51:51.867692	DEBUG	Linked Output ID 01jjx92pqm60nbqp2hy7sgyjwk with Final Arbiter ID 01jjx91e1xs7pag85t2rrt00mt -> Consortium Run ID 1491f72761564175db095c209c7e5d20b6a3317f
2025-04-20T01:51:51.867730	DEBUG	Linked Output ID 01jjyd84bpnc9vr23thqhgjnxf with Final Arbiter ID 01jjyd82nhm2t3b4d3wjgtexen -> Consortium Run ID 1491f7275f4880329dfd40a6913bfc0412b15fc3
2025-04-20T01:51:51.867760	DEBUG	Linked Output ID 01jjye79epj8s9rgvds285pab1 with Final Arbiter ID 01jjye6ne044yd49pjxantax37 -> Consortium Run ID 1491f727f000805c614a61c3b841a23b0b77cc07
2025-04-20T01:51:51.867793	DEBUG	Linked Output ID 01jjygage08etejvbzdaazp1zw with Final Arbiter ID 01jjyg664bcq5vj5ptqj3vxmxe -> Consortium Run ID 1491f7276c5eaa92723e6d7a89e1fbfb8a137985
